CCSM_Modern(1950-1999).txt	CNRM_Modern(1950-1999).txt	FGOALS_Modern(1950-1999).txt	GISS_Modern(1950-1999).txt	MIROC_Modern(1950-1999).txt	MRI_Modern(1950-1999).txt
-7.51274271268139	-7.90964157835329	-10.7293579521487	-5.9517623408595	-4.02177640705677	-5.65693476384147
-8.63171277917676	-9.32788811875104	-11.7621410915238	-6.64854917863556	-5.08028245778942	-6.26731964404108
-6.60111628576416	-7.02250563755674	-10.3132256369325	-5.33971866356779	-3.9389938419829	-5.04365459992867
-7.61303831673011	-8.36736518179636	-11.3097826142521	-6.11060343487349	-4.92256521896904	-5.76927865636426
-5.97960691920563	-6.40926790349818	-9.95593778267179	-4.76693404901379	-3.99029642000792	-4.67036387342745
-6.81558454562768	-7.64424906951428	-10.9476966509982	-5.59558251132558	-4.91361936929024	-5.42159371403397
16.9006344644328	13.9052750606717	13.4372714022853	14.2238458166791	16.1757869136431	14.2730055591152
18.1323941470275	16.6634078601174	15.0987933647516	15.7429680396343	17.3092505197421	15.7118089806464
17.5270920971709	15.2754642530652	14.0178627667401	14.9546725690832	16.7451282597938	14.8591038854203
16.6918072295905	13.6366666803803	12.890930944658	14.3672553304448	16.1438577828511	14.0082987991554
15.1609600360933	11.985904429542	11.6088928355003	13.6240862022605	15.4493166505859	12.4506428086082
13.9803712688586	11.17339686405	10.2919965242446	12.5371103873594	14.7013618203989	11.4565401754496
18.9141065742895	17.623656556809	16.7264349674355	16.766938046782	18.3870607711205	17.2370858143109
17.8742333276948	15.8975855912178	15.8392410821096	15.3018334771384	17.7453423659924	15.7248195777543
16.4120216283181	14.5865729957292	14.7279017899065	14.2293601501492	17.1416139843226	14.2241698623271
15.9350005786625	13.6833493698434	13.4927376145486	13.9827156508498	16.6080135968298	13.6209118236488
15.9165411033389	13.4606148640704	12.2307474316228	14.2003697668079	16.086152673159	13.7521381998564
15.3801729336357	13.4545587721974	11.1621414867409	14.1119484364088	15.4691863515855	13.3560634854757
14.8630202219849	12.8682808412571	10.1879924963856	13.3614728347949	14.8470957001361	12.6440960100242
18.1300540269829	16.2308514631645	16.4801184219582	15.7719339238736	18.2019639816722	16.8480690284403
15.2683718108863	13.1337268869946	15.5695023030388	13.7491346544288	17.5132452861612	13.402947309318
13.3082530019695	11.6735696290881	14.3680034545892	12.4356828728049	16.8449663472013	11.4961029078146
13.5469052304642	11.5776478688511	13.0390238714196	12.4833312768434	16.3299525907434	11.5139662280795
15.3448651292579	13.0086624474261	11.7330090628811	13.9165696865154	15.9093255520588	13.1338615094817
15.9202869913232	14.5014984279592	10.7397467764804	14.5154826035079	15.4106691390651	13.9866260990152
16.9809926407694	15.0604776968034	16.155445794692	15.7872106236093	17.8909133702663	16.1879947648511
13.2578375878773	10.6395252800185	15.1523727980243	13.4009078725719	17.0825641090023	11.1186995684761
11.5436415541704	8.78232364368448	14.0057317389095	11.7903328726177	16.4136191113159	9.26541638328431
11.8541802085313	9.38864145504768	12.7187070811234	11.7598485554668	15.8793264265085	9.65333179388555
14.4707016257333	12.0683367175163	11.5216584102338	13.1319826711093	15.5269423136755	12.3047251909388
16.0390997422971	14.7911255400399	10.433457031233	14.1697243539844	15.2565886088608	13.9913181332872
16.2297436126833	14.7355086054491	15.8326641822673	16.3621005080859	17.5584770417388	16.231350236715
12.5876269111569	9.77449525836421	14.8304294789689	13.7341530245506	16.5631818749261	10.4373102040238
11.1829615012189	7.58299183113902	13.6575182227912	11.5336524335049	15.8457680623568	8.31942434921215
11.0187880690441	8.11430782408876	12.4336583331774	11.0928718518714	15.3406224018343	8.62930617938544
12.944761605143	10.9443167237949	11.2603547444312	12.1618957719513	15.009718662313	11.2263522453933
15.1786910612007	14.0554359686228	10.1470762417519	13.4325301386147	14.9980361552484	13.511194001574
15.8272394688666	14.429191793756	15.4697563481564	16.5671296932173	17.2552592923564	16.7357629036771
12.7655075378331	9.55041334317088	14.4297658413871	13.8636032358012	16.1796705349654	10.268109144841
