ID	Species	zooregions
348	Phrynobatrachus_gastoni	AFROTROPICAL
349	Rhacophorus_malabaricus	MALASIA
350	Eleutherodactylus_glaphycompus	NEOTROPICAL
351	Ptychadena_longirostris	AFROTROPICAL
352	Pristimantis_rosadoi	NEOTROPICAL
353	Stereocyclops_histrio	NEOTROPICAL
354	Probreviceps_macrodactylus	AFROTROPICAL
355	Xenopus_laevis	AFROTROPICAL
356	Paratelmatobius_mantiqueira	NEOTROPICAL
357	Callulina_laphami	AFROTROPICAL
358	Breviceps_fuscus	AFROTROPICAL
359	Xenophrys_pachyproctus	MALASIA
360	Leptobrachium_nokrekensis	MALASIA
361	Litoria_cooloolensis	AUSTRALIA
362	Nyctimystes_kubori	AUSTRALIA
363	Boophis_baetkei	AFROTROPICAL
364	Litoria_christianbergmanni	AUSTRALIA
365	Rhacophorus_margaritifer	MALASIA
366	Dendropsophus_ebraccatus	NEOTROPICAL
367	Aneides_aeneus	NEARTIC
368	Haddadus_binotatus	NEOTROPICAL
369	Plethodontohyla_bipunctata	AFROTROPICAL
370	Hyalinobatrachium_mondolfii	NEOTROPICAL
371	Pristimantis_ventriguttatus	NEOTROPICAL
372	Rhinella_truebae	NEOTROPICAL
373	Guibemantis_wattersoni	AFROTROPICAL
374	Dendropsophus_werneri	NEOTROPICAL
375	Gyrinophilus_gulolineatus	NEARTIC
376	Rhinella_amabilis	NEOTROPICAL
377	Litoria_viranula	AUSTRALIA
378	Ceratophrys_aurita	NEOTROPICAL
379	Oedipina_quadra	NEOTROPICAL
380	Oreophryne_kampeni	AUSTRALIA
381	Caecilia_orientalis	NEOTROPICAL
382	Noblella_heyeri	NEOTROPICAL
383	Paramophrynella_ginesi	NEOTROPICAL
384	Proceratophrys_bigibbosa	NEOTROPICAL
385	Hylarana_kreffti	AUSTRALIA
386	Afrixalus_dorsimaculatus	AFROTROPICAL
387	Noblella_peruviana	NEOTROPICAL
388	Nyctimystes_pulcher	AUSTRALIA
389	Rhacophorus_owstoni	MALASIA
390	Bradytriton_silus	NEOTROPICAL
391	Microhyla_pulchra	MALASIA
392	Hyloxalus_faciopunctulatus	NEOTROPICAL
393	Ingerana_mariae	OCEANIA
394	Megaelosia_goeldii	NEOTROPICAL
395	Leptobrachium_abbotti	MALASIA
396	Bufotes_oblongus	PALEARTIC
397	Cyclorana_platycephala	AUSTRALIA
398	Salamandra_atra	PALEARTIC
399	Atelopus_coynei	NEOTROPICAL
400	Rhacophorus_dorsoviridis	MALASIA
401	Pristimantis_tribulosus	NEOTROPICAL
402	Bolitoglossa_equatoriana	NEOTROPICAL
403	Albericus_brunhildae	AUSTRALIA
404	Ichthyophis_alfredii	MALASIA
405	Polypedates_megacephalus	MALASIA
406	Hyloxalus_saltuarius	NEOTROPICAL
407	Atelopus_podocarpus	NEOTROPICAL
408	Theloderma_laeve	MALASIA
409	Cardioglossa_elegans	AFROTROPICAL
410	Poyntonophrynus_beiranus	AFROTROPICAL
411	Xenophrys_omeimontis	MALASIA
412	Pristimantis_thymelensis	NEOTROPICAL
413	Gastrotheca_ochoai	NEOTROPICAL
414	Rana_sierrae	NEARTIC
415	Phrynobatrachus_accraensis	AFROTROPICAL
416	Hyloscirtus_psarolaimus	NEOTROPICAL
417	Hypodactylus_araiodactylus	NEOTROPICAL
418	Fejervarya_assimilis	MALASIA
419	Bolitoglossa_taylori	NEOTROPICAL
420	Eleutherodactylus_rufifemoralis	NEOTROPICAL
421	Callulops_marmoratus	AUSTRALIA
422	Hypsiboas_pulchellus	NEOTROPICAL
423	Platypelis_alticola	AFROTROPICAL
424	Cardioglossa_venusta	AFROTROPICAL
425	Eleutherodactylus_orcutti	NEOTROPICAL
426	Pseudacris_illinoensis	NEARTIC
427	Pristimantis_jabonensis	NEOTROPICAL
428	Crossodactylodes_pintoi	NEOTROPICAL
429	Rhinella_lescurei	NEOTROPICAL
430	Cophixalus_infacetus	AUSTRALIA
431	Gastrotheca_dendronastes	NEOTROPICAL
432	Philautus_gunungensis	MALASIA
433	Pristimantis_gladiator	NEOTROPICAL
434	Xenorhina_bouwensi	AUSTRALIA
435	Pelophylax_grafi	PALEARTIC
436	Mannophryne_lamarcai	NEOTROPICAL
437	Melanophryniscus_estebani	NEOTROPICAL
438	Truebella_tothastes	NEOTROPICAL
439	Aromobates_zippeli	NEOTROPICAL
440	Cophixalus_balbus	AUSTRALIA
441	Pseudacris_streckeri	NEARTIC
442	Ansonia_siamensis	MALASIA
443	Lynchius_nebulanastes	NEOTROPICAL
444	Pristimantis_crucifer	NEOTROPICAL
445	Pristimantis_factiosus	NEOTROPICAL
446	Amolops_cremnobatus	MALASIA
447	Choerophryne_allisoni	AUSTRALIA
448	Pristimantis_muchimuk	NEOTROPICAL
449	Pristimantis_torrenticola	NEOTROPICAL
450	Oreophryne_minuta	AUSTRALIA
451	Leptobrachium_smithi	MALASIA
452	Litoria_nigropunctata	AUSTRALIA
453	Rhacophorus_tuberculatus	MALASIA
454	Atelopus_hoogmoedi	NEOTROPICAL
455	Brachycephalus_ferruginus	NEOTROPICAL
456	Incilius_alvarius	NEARTIC
457	Oophaga_lehmanni	NEOTROPICAL
458	Bolitoglossa_nicefori	NEOTROPICAL
459	Pleurodema_alium	NEOTROPICAL
460	Atelopus_peruensis	NEOTROPICAL
461	Ingerana_reticulata	MALASIA
462	Hypsiboas_pulidoi	NEOTROPICAL
463	Rhinella_ruizi	NEOTROPICAL
464	Amphiuma_means	NEARTIC
465	Platymantis_parilis	AUSTRALIA
466	Anotheca_spinosa	NEOTROPICAL
467	Oreophrynella_huberi	NEOTROPICAL
468	Odorrana_yizhangensis	MALASIA
469	Hynobius_okiensis	PALEARTIC
470	Limnonectes_parvus	OCEANIA
471	Hypsiboas_buriti	NEOTROPICAL
472	Chthonerpeton_noctinectes	NEOTROPICAL
473	Rana_montezumae	NEOTROPICAL
474	Leptobrachium_leucops	MALASIA
475	Ischnocnema_concolor	NEOTROPICAL
476	Nannophrys_ceylonensis	MALASIA
477	Barygenys_exsul	AUSTRALIA
478	Leptodactylus_spixi	NEOTROPICAL
479	Atelopus_chocoensis	NEOTROPICAL
480	Pristimantis_bogotensis	NEOTROPICAL
481	Oreophrynella_seegobini	NEOTROPICAL
482	Bolitoglossa_splendida	NEOTROPICAL
483	Hyloxalus_bocagei	NEOTROPICAL
484	Oxydactyla_alpestris	AUSTRALIA
485	Pristimantis_jubatus	NEOTROPICAL
486	Cochranella_mache	NEOTROPICAL
487	Ingerophrynus_claviger	MALASIA
488	Spinomantis_microtis	AFROTROPICAL
489	Litoria_myola	AUSTRALIA
490	Incilius_coniferus	NEOTROPICAL
491	Gastrotheca_trachyceps	NEOTROPICAL
492	Andinobates_virolinensis	NEOTROPICAL
493	Dendrobates_truncatus	NEOTROPICAL
494	Aplastodiscus_perviridis	NEOTROPICAL
495	Polypedates_taeniatus	MALASIA
496	Kassina_arboricola	AFROTROPICAL
497	Amietophrynus_reesi	AFROTROPICAL
498	Odorrana_grahami	MALASIA
499	Albericus_sanguinopictus	AUSTRALIA
500	Megastomatohyla_mixe	NEOTROPICAL
501	Pseudoeurycea_werleri	NEOTROPICAL
502	Chiasmocleis_ventrimaculata	NEOTROPICAL
503	Microhyla_maculifera	MALASIA
504	Exerodonta_chimalapa	NEOTROPICAL
505	Hypsiboas_bandeirantes	NEOTROPICAL
506	Plethodon_serratus	NEARTIC
507	Xenopus_wittei	AFROTROPICAL
508	Boophis_luteus	AFROTROPICAL
509	Hylarana_elberti	OCEANIA
510	Atelopus_mittermeieri	NEOTROPICAL
511	Craugastor_jota	NEOTROPICAL
512	Kurixalus_verrucosus	MALASIA
513	Crotaphatrema_bornmuelleri	AFROTROPICAL
514	Craugastor_decoratus	NEOTROPICAL
515	Pseudophilautus_nemus	MALASIA
516	Duttaphrynus_parietalis	MALASIA
517	Ameerega_ignipedis	NEOTROPICAL
518	Eleutherodactylus_pantoni	NEOTROPICAL
519	Xenopus_victorianus	AFROTROPICAL
