ID	Species	Range	sd.phy	sd.rg	Latitude	Longitude	meanT0	meanT1	Haldane	P_Rescue	P_RescueP	rescuep_save_05	rescuep_save_095
6114	Oreolalax_multipunctatus	4	1.199687797	1.199687797	30	103	8.02713796	12.47960687	0.074227127	0	0.04	1	0
6115	Pseudophilautus_steineri	1	0.574154312	0.574154312	7.5	80.5	26.60315203	29.71601507	0.126084856	0	0	1	0
6116	Afrixalus_enseticola	1	0.55706235	0.55706235	6.5	38.5	17.42041574	20.69294623	0.122387949	0	0	1	0
6117	Boophis_luciae	1	0.676871001	0.676871001	-18.5	48.5	20.43851136	23.67624493	0.103986597	0	0	1	0
6118	Litoria_pallida	120	1.373810447	1.373810447	-15.675	135.725	25.78116847	29.14143265	0.054354323	0.003	0.541	0	0
6119	Hylophorbus_picoides	3	1.687026693	1.687026693	-3.833333333	136.5	24.60950402	27.93616854	0.043820218	0.216	0.922	0	0
6120	Eleutherodactylus_nortoni	3	2.559631794	2.559631794	18.5	-72.83333333	26.20752687	29.24658811	0.026984183	0.917	1	0	1
6121	Pristimantis_stictoboubonus	1	2.809606255	2.809606255	-6.5	-77.5	17.63963003	21.9209443	0.030476258	0.809	1	0	1
6122	Pristimantis_orpacobates	1	1.386428765	1.386428765	4.5	-76.5	20.7589816	24.46204692	0.055644542	0	0.495	1	0
6123	Odontophrynus_occidentalis	99	2.74388939	2.74388939	-36.37878788	-65.81313131	13.63240335	17.15613854	0.026208405	0.921	1	0	1
6124	Pachytriton_inexpectatus	6	1.092086376	1.092086376	25	111	17.91880987	22.04882355	0.082212276	0	0.003	1	0
6125	Hylarana_albolabris	377	1.767515585	1.767515585	0.526525199	15.99071618	22.68744781	26.500686	0.046900001	0.107	0.832	0	0
6126	Ophryophryne_microstoma	37	2.500970606	2.500970606	18.71621622	105.3648649	20.61573834	24.24881856	0.035430929	0.606	1	0	1
6127	Eleutherodactylus_leberi	1	0.898661293	0.898661293	20.5	-76.5	26.19868629	29.45502688	0.090588652	0	0	1	0
6128	Micrixalus_nudis	4	1.124835922	1.124835922	10	77	25.21662842	28.66200284	0.068066706	0	0.136	1	0
6129	Physalaemus_orophilus	3	2.407577061	2.407577061	-19.16666667	-42.83333333	20.59144098	24.31338038	0.036807796	0.519	0.999	0	1
6130	Pristimantis_atratus	4	1.245789535	1.245789535	-3	-79	21.28634481	24.97546534	0.067301616	0	0.142	1	0
6131	Chiasmocleis_crucis	1	7.677465912	7.677465912	-14.5	-39.5	23.38475314	26.75882766	0.01022041	1	1	0	1
6132	Plethodon_angusticlavius	14	0.763132622	0.763132622	36.42857143	-93.35714286	14.51718409	19.50865413	0.148653717	0	0	1	0
6133	Oreobates_remotus	1	1.008592716	1.008592716	-15.5	-44.5	23.78565797	28.15737088	0.090301418	0	0	1	0
6134	Oreobates_zongoensis	2	1.972643237	1.972643237	-16.5	-68	8.312414528	12.65128995	0.047815731	0.103	0.826	0	0
6135	Cophixalus_zweifeli	1	3.417121037	3.417121037	-14.5	144.5	25.87378068	29.03929506	0.019709975	1	1	0	1
6136	Gastrotheca_piperata	3	0.599711512	0.599711512	-18.16666667	-64.16666667	19.27480854	24.33807617	0.1918827	0	0	1	0
6137	Leptodactylus_lithonaetes	26	1.833460548	1.833460548	3.846153846	-68.03846154	24.09437002	28.47506502	0.056888195	0	0.458	1	0
6138	Litoria_wollastoni	35	1.882224341	1.882224341	-5.928571429	143.4428571	22.29753967	25.62439458	0.035350249	0.565	1	0	1
6139	Hypsiboas_lemai	8	0.984926787	0.984926787	5.375	-60.625	22.38153145	26.80900378	0.109639753	0	0	1	0
6140	Physalaemus_fischeri	53	2.839079938	2.839079938	7.179245283	-67.38679245	24.95822301	29.10899786	0.029837022	0.829	1	0	1
6141	Chiasmocleis_devriesi	1	1.599748327	1.599748327	-3.5	-72.5	24.83335527	29.25649929	0.058827658	0	0.355	1	0
6142	Plectrohyla_psiloderma	2	6.966625631	6.966625631	14.5	-89	22.97741227	26.90951891	0.013766355	1	1	0	1
6143	Amietia_desaegeri	5	6.080628087	6.080628087	-0.7	29.1	18.31100389	22.25830984	0.013524185	1	1	0	1
6144	Bokermannohyla_gouveai	1	1.652221689	1.652221689	-22.5	-44.5	18.86821018	22.64825718	0.055801391	0	0.522	0	0
6145	Leptolalax_arayai	1	1.322749678	1.322749678	5.5	116.5	24.74747193	28.19385908	0.057899376	0	0.442	1	0
6146	Phrynomantis_annectens	77	1.822825369	1.822825369	-21.91558442	15.51298701	21.99780002	26.11734053	0.045199508	0.174	0.909	0	0
